HP,MPG,VOL,SP,WT
49,53.70068138,89,104.1853528,28.7620589
55,50.01340115,92,105.4612635,30.46683298
55,50.01340115,92,105.4612635,30.19359657
70,45.69632238,92,113.4612635,30.63211391
53,50.50423183,92,104.4612635,29.88914864
70,45.69632238,89,113.1853528,29.59176832
55,50.01340115,92,105.4612635,30.30847957
62,46.71655428,50,102.5985128,15.84775807
62,46.71655428,50,102.5985128,16.35948352
80,42.29907817,94,115.6452041,30.92015417
73,44.65283424,89,111.1853528,29.36334142
92,39.3540941,50,117.5985128,15.75353468
